# NeoMOM Impedance Sweep
# 2026-07-06, T10:55:32
# title       : 40 m center fed dipole — impedance sweep
# file        : Center_fed_40m_dipole_Zin.nml
# ground      : FREE_SPACE
# nports      : 1
# nfreq       : 201
# fstart_MHz  : 6.5000
# fstop_MHz   : 8.5000
# fstep_MHz   : .0100
# z0_ref_Ohm  : 50.0
#
# freq_MHz    Rin_Ohm    Xin_Ohm    Zin_Ohm    Gin_S      Bin_S      Yin_S      SWR
   6.50000       51.7101      -167.896       175.679      0.167547E-02  0.544004E-02  0.569221E-02   12.8259    
   6.51000       51.9373      -165.643       173.595      0.172347E-02  0.549667E-02  0.576053E-02   12.4871    
   6.52000       52.1656      -163.396       171.521      0.177317E-02  0.555402E-02  0.583020E-02   12.1554    
   6.53000       52.3948      -161.147       169.450      0.182475E-02  0.561224E-02  0.590143E-02   11.8302    
   6.54000       52.6247      -158.899       167.387      0.187823E-02  0.567127E-02  0.597419E-02   11.5116    
   6.55000       52.8557      -156.655       165.332      0.193366E-02  0.573102E-02  0.604844E-02   11.1998    
   6.56000       53.0877      -154.411       163.282      0.199120E-02  0.579162E-02  0.612436E-02   10.8943    
   6.57000       53.3207      -152.168       161.239      0.205095E-02  0.585304E-02  0.620197E-02   10.5949    
   6.58000       53.5544      -149.928       159.205      0.211290E-02  0.591515E-02  0.628119E-02   10.3022    
   6.59000       53.7892      -147.687       157.177      0.217730E-02  0.597810E-02  0.636226E-02   10.0154    
   6.60000       54.0247      -145.451       155.160      0.224406E-02  0.604167E-02  0.644497E-02   9.73520    
   6.61000       54.2614      -143.210       153.145      0.231358E-02  0.610614E-02  0.652975E-02   9.46038    
   6.62000       54.4991      -140.974       151.142      0.238572E-02  0.617120E-02  0.661630E-02   9.19188    
   6.63000       54.7376      -138.740       149.147      0.246068E-02  0.623692E-02  0.670479E-02   8.92929    
   6.64000       54.9772      -136.504       147.159      0.253868E-02  0.630333E-02  0.679536E-02   8.67227    
   6.65000       55.2177      -134.273       145.183      0.261967E-02  0.637024E-02  0.688786E-02   8.42132    
   6.66000       55.4592      -132.039       143.213      0.270402E-02  0.643779E-02  0.698262E-02   8.17564    
   6.67000       55.7019      -129.807       141.254      0.279171E-02  0.650577E-02  0.707946E-02   7.93570    
   6.68000       55.9449      -127.582       139.309      0.288274E-02  0.657404E-02  0.717831E-02   7.70175    
   6.69000       56.1897      -125.350       137.368      0.297773E-02  0.664284E-02  0.727971E-02   7.47254    
   6.70000       56.4350      -123.126       135.443      0.307633E-02  0.671173E-02  0.738316E-02   7.24928    
   6.71000       56.6815      -120.900       133.527      0.317908E-02  0.678087E-02  0.748910E-02   7.03103    
   6.72000       56.9289      -118.672       131.621      0.328612E-02  0.685016E-02  0.759758E-02   6.81782    
   6.73000       57.1775      -116.446       129.727      0.339755E-02  0.691938E-02  0.770851E-02   6.60977    
   6.74000       57.4269      -114.224       127.848      0.351342E-02  0.698831E-02  0.782180E-02   6.40706    
   6.75000       57.6776      -112.003       125.982      0.363407E-02  0.705692E-02  0.793767E-02   6.20931    
