 # NeoMom v0
 # 2026-06-28, T17:25:55
# /home/john/Ant_neomom_to_git/AntennaModeling_neoMoM/input_gui/junk.nml
# &RunTitle
#    title = 'test 4'
# /
# &Frequency_MHz
#    fmin  = 7.0
#    fmax  = 7.0
#    nFreq = 1
# /
# &Ground
#    Ground_Plane = 'real'
#    epsilon = 14.0
#    sigma = 0.005
# /
# &OPTIONS
#    NBASISPERLAMBDA = 40
#    Output_Currents = .FALSE.
# /
# &node_input
#    zHeight = 10.0
#    nNodes = 3
#    units = 'meters'
#  node_list(1) = 'A', 0.0, 0.0, 0.0
#  node_list(2) = 'B', 10.0, 0.0, 0.0
#  node_list(3) = 'C', 20.0, 0.0, 0.0
# /
# &wire_primitive
#    tag   = 'W1',
#    nNodes = 3,
#    nodeTags = 'A' 'B' 'C'
#    radius     = 0.001
# /
# &excitation_input
#    wireTag = 'W1'
#    nodeTag = 'B'
#    voltage = 1.0
#    phase_deg = 0.0
# /
# 
# filename        : /home/john/Ant_neomom_to_git/AntennaModeling_neoMoM/input_gui/junk.csv
# title           : test 4
 # frequency_MHz   :   7.000000    
 # wavelength_m    :   42.82749    
 #
 # input impedance :  (71.35602,-48.30164)
 # SWR             :    2.357587    
 #
 # gain_peak_dBi   :    6.034438    
 # e_theta_max     :   0.0000000E+00  0.0000000E+00
 # e_phi_max       :    20.00000       90.00000    
 # e_total_max     :    20.00000       90.00000    
 #
 # ground_type     : REAL      
 # height above ground :    10.00000    
 #
 # theta_start     :   0.0000000E+00
 # theta_stop      :    90.00000    
 # theta_step      :    5.000000    
 # nTheta          :           19
 # phi_start       :   0.0000000E+00
 # phi_stop        :    360.0000    
 # phi_step        :    5.000000    
 # nPhi            :           73
 #
 # theta_deg, phi_deg, re_Etheta, im_Etheta, re_Ephi, im_Ephi
   0.000       0.000       13.75       7.021       0.000       0.000    
   0.000       5.000       13.70       6.994      -1.199     -0.6119    
   0.000       10.00       13.54       6.914      -2.388      -1.219    
   0.000       15.00       13.28       6.782      -3.559      -1.817    
   0.000       20.00       12.92       6.597      -4.704      -2.401    
   0.000       25.00       12.46       6.363      -5.812      -2.967    
   0.000       30.00       11.91       6.080      -6.876      -3.510    
   0.000       35.00       11.27       5.751      -7.888      -4.027    
   0.000       40.00       10.54       5.378      -8.840      -4.513    
   0.000       45.00       9.725       4.965      -9.725      -4.965    
   0.000       50.00       8.840       4.513      -10.54      -5.378    
   0.000       55.00       7.888       4.027      -11.27      -5.751    
   0.000       60.00       6.876       3.510      -11.91      -6.080    
   0.000       65.00       5.812       2.967      -12.46      -6.363    
   0.000       70.00       4.704       2.401      -12.92      -6.597    
   0.000       75.00       3.559       1.817      -13.28      -6.782    
   0.000       80.00       2.388       1.219      -13.54      -6.914    
   0.000       85.00       1.199      0.6119      -13.70      -6.994    
   0.000       90.00     -0.6011E-06 -0.3069E-06  -13.75      -7.021    
   0.000       95.00      -1.199     -0.6119      -13.70      -6.994    
   0.000       100.0      -2.388      -1.219      -13.54      -6.914    
   0.000       105.0      -3.559      -1.817      -13.28      -6.782    
   0.000       110.0      -4.704      -2.401      -12.92      -6.597    
   0.000       115.0      -5.812      -2.967      -12.46      -6.363    
   0.000       120.0      -6.876      -3.510      -11.91      -6.080    
   0.000       125.0      -7.888      -4.027      -11.27      -5.751    
   0.000       130.0      -8.840      -4.513      -10.54      -5.378    
   0.000       135.0      -9.725      -4.965      -9.725      -4.965    
   0.000       140.0      -10.54      -5.378      -8.840      -4.513    
   0.000       145.0      -11.27      -5.751      -7.888      -4.027    
   0.000       150.0      -11.91      -6.080      -6.876      -3.510    
   0.000       155.0      -12.46      -6.363      -5.812      -2.967    
   0.000       160.0      -12.92      -6.597      -4.704      -2.401    
   0.000       165.0      -13.28      -6.782      -3.559      -1.817    
   0.000       170.0      -13.54      -6.914      -2.388      -1.219    
   0.000       175.0      -13.70      -6.994      -1.199     -0.6119    
   0.000       180.0      -13.75      -7.021      0.1202E-05  0.6138E-06
   0.000       185.0      -13.70      -6.994       1.199      0.6119    
   0.000       190.0      -13.54      -6.914       2.388       1.219    
   0.000       195.0      -13.28      -6.782       3.559       1.817    
   0.000       200.0      -12.92      -6.597       4.704       2.401    
   0.000       205.0      -12.46      -6.363       5.812       2.967    
   0.000       210.0      -11.91      -6.080       6.876       3.510    
   0.000       215.0      -11.27      -5.751       7.888       4.027    
   0.000       220.0      -10.54      -5.378       8.840       4.513    
   0.000       225.0      -9.725      -4.965       9.725       4.965    
   0.000       230.0      -8.840      -4.513       10.54       5.378    
   0.000       235.0      -7.888      -4.027       11.27       5.751    
   0.000       240.0      -6.876      -3.510       11.91       6.080    
   0.000       245.0      -5.812      -2.967       12.46       6.363    
   0.000       250.0      -4.704      -2.401       12.92       6.597    
   0.000       255.0      -3.559      -1.817       13.28       6.782    
   0.000       260.0      -2.388      -1.219       13.54       6.914    
   0.000       265.0      -1.199     -0.6119       13.70       6.994    
   0.000       270.0      0.1640E-06  0.8372E-07   13.75       7.021    
   0.000       275.0       1.199      0.6119       13.70       6.994    
   0.000       280.0       2.388       1.219       13.54       6.914    
   0.000       285.0       3.559       1.817       13.28       6.782    
   0.000       290.0       4.704       2.401       12.92       6.597    
   0.000       295.0       5.812       2.967       12.46       6.363    
   0.000       300.0       6.876       3.510       11.91       6.080    
   0.000       305.0       7.888       4.027       11.27       5.751    
   0.000       310.0       8.840       4.513       10.54       5.378    
   0.000       315.0       9.725       4.965       9.725       4.965    
   0.000       320.0       10.54       5.378       8.840       4.513    
   0.000       325.0       11.27       5.751       7.888       4.027    
   0.000       330.0       11.91       6.080       6.876       3.510    
   0.000       335.0       12.46       6.363       5.812       2.967    
   0.000       340.0       12.92       6.597       4.704       2.401    
   0.000       345.0       13.28       6.782       3.559       1.817    
   0.000       350.0       13.54       6.914       2.388       1.219    
   0.000       355.0       13.70       6.994       1.199      0.6119    
   0.000       360.0       13.75       7.021     -0.2405E-05 -0.1228E-05
   5.000       0.000       12.68       8.646       0.000       0.000    
   5.000       5.000       12.64       8.607      -1.111     -0.7574    
   5.000       10.00       12.50       8.491      -2.215      -1.506    
   5.000       15.00       12.29       8.299      -3.307      -2.237    
   5.000       20.00       11.98       8.034      -4.381      -2.941    
   5.000       25.00       11.59       7.700      -5.429      -3.612    
   5.000       30.00       11.11       7.301      -6.446      -4.240    
   5.000       35.00       10.55       6.844      -7.424      -4.820    
   5.000       40.00       9.913       6.334      -8.358      -5.346    
   5.000       45.00       9.196       5.778      -9.240      -5.812    
   5.000       50.00       8.403       5.184      -10.06      -6.215    
   5.000       55.00       7.540       4.560      -10.82      -6.551    
   5.000       60.00       6.611       3.914      -11.51      -6.819    
   5.000       65.00       5.621       3.253      -12.11      -7.018    
   5.000       70.00       4.576       2.586      -12.63      -7.147    
   5.000       75.00       3.484       1.920      -13.06      -7.209    
   5.000       80.00       2.352       1.263      -13.40      -7.204    
   5.000       85.00       1.187      0.6206      -13.64      -7.137    
   5.000       90.00     -0.5989E-06 -0.3046E-06  -13.77      -7.012    
   5.000       95.00      -1.201     -0.5941      -13.79      -6.832    
   5.000       100.0      -2.405      -1.157      -13.71      -6.603    
   5.000       105.0      -3.603      -1.685      -13.51      -6.329    
   5.000       110.0      -4.785      -2.176      -13.21      -6.016    
   5.000       115.0      -5.939      -2.628      -12.80      -5.670    
   5.000       120.0      -7.056      -3.039      -12.28      -5.297    
   5.000       125.0      -8.126      -3.409      -11.66      -4.900    
   5.000       130.0      -9.138      -3.739      -10.94      -4.485    
   5.000       135.0      -10.08      -4.030      -10.13      -4.056    
   5.000       140.0      -10.96      -4.283      -9.239      -3.617    
   5.000       145.0      -11.75      -4.500      -8.264      -3.171    
   5.000       150.0      -12.44      -4.682      -7.220      -2.721    
   5.000       155.0      -13.05      -4.832      -6.114      -2.268    
   5.000       160.0      -13.55      -4.952      -4.955      -1.814    
   5.000       165.0      -13.94      -5.043      -3.754      -1.360    
   5.000       170.0      -14.23      -5.107      -2.521     -0.9064    
